#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-10T10:57:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
003.4835000|-18.9018056|SHBL J001355.9-185406
008.3931667|-19.3591389|KUV 00311-1938
008.9692500|+59.8345278|1ES 0033+595
028.1650000|+01.7881667|RGB J0152+017
035.6650000|+43.0355000|3C 66A
038.2025000|+20.2881389|1ES 0229+200
045.8603750|-24.1198333|PKS 0301-243
049.9658333|+18.7596111|RBS 0413
057.3465833|-11.9908889|1ES 0347-121
064.2186667|+01.0899722|1ES 0414+009
072.3528750|-43.8358056|PKS 0447-439
076.9840000|+67.6234167|1ES 0502+675
087.6690417|-32.2712222|PKS 0548-322
102.1985000|+15.2735556|RX J0648.7+1516
102.6936667|+25.0498889|1ES 0647+250
107.6252083|+59.1390278|RGB J0710+591
110.4726667|+71.3434167|S5 0716+714
122.4549583|+52.3161944|1ES 0806+524
152.5665833|-31.3189722|1RXS J101015.9-311909
153.7672083|+49.4335556|1ES 1011+496
165.9067500|-23.4919444|1ES 1101-232
166.1138333|+38.2088611|Markarian 421
174.1100833|+70.1575278|Markarian 180
184.4670000|+30.1168611|1ES 1215+303
185.3414583|+30.1770000|1ES 1218+304
185.3820417|+28.2329167|W Comae
198.7641250|-42.6138056|1ES 1312-423
216.7516667|+23.8000278|PKS 1424+240
217.1359167|+42.6725000|H 1426+428
220.7010000|+12.0111944|1ES 1440+122
229.4242500|-24.3720556|AP Lib
238.9293750|+11.1901111|PG 1553+113
253.4675833|+39.7601389|Markarian 501
265.9910000|+19.5859167|1ES 1741+196
299.9993333|+65.1485278|1ES 1959+650
300.3036250|+43.8813333|MAGIC J2001+435
302.3557917|-48.8315278|PKS 2005-489
329.7168750|-30.2255556|PKS 2155-304
330.6803750|+42.2777778|BL Lacertae
342.5239583|+38.4103611|B3 2247+381
356.7701250|+51.7049722|1ES 2344+514
359.7828333|-30.6279167|H 2356-309


